complex_id,instance_a,instance_b,n_pairs_a,n_pairs_b,direct,swapped,delta
PDB-CPX-130029,1sq7 a1 i1,1su5 a1 i1,25,25,0.8519,0.8519,0.0
PDB-CPX-130029,1sq7 a1 i1,1sw0 a1 i1,25,23,0.92,0.92,0.0
PDB-CPX-130029,1sq7 a1 i1,1sw3 a1 i1,25,24,0.8846,0.8846,0.0
PDB-CPX-130029,1sq7 a1 i1,1sw7 a1 i1,25,23,0.92,0.92,0.0
PDB-CPX-130029,1sq7 a1 i1,1tim a1 i1,25,19,0.6923,0.6923,0.0
PDB-CPX-130029,1sq7 a1 i1,1tpb a1 i1,25,23,0.92,0.92,0.0
PDB-CPX-130029,1sq7 a1 i1,1tpc a1 i1,25,22,0.88,0.88,0.0
PDB-CPX-130029,1sq7 a1 i1,1tph a1 i1,25,23,0.92,0.92,0.0
PDB-CPX-130029,1sq7 a1 i1,1tpu a1 i1,25,22,0.88,0.88,0.0
PDB-CPX-130029,1sq7 a1 i1,1tpv a1 i1,25,24,0.8846,0.8846,0.0
PDB-CPX-130029,1sq7 a1 i1,1tpw a1 i1,25,24,0.8148,0.8148,0.0
PDB-CPX-130029,1sq7 a1 i1,4p61 a1 i1,25,25,1.0,1.0,0.0
PDB-CPX-130029,1sq7 a1 i1,8tim a1 i1,25,22,0.8077,0.8077,0.0
PDB-CPX-130029,1ssd a1 i1,1ssg a1 i1,22,23,0.8,0.8,0.0
PDB-CPX-130029,1ssd a1 i1,1su5 a1 i1,22,25,0.88,0.88,0.0
PDB-CPX-130029,1ssd a1 i1,1sw0 a1 i1,22,23,0.9565,0.9565,0.0
PDB-CPX-130029,1ssd a1 i1,1sw3 a1 i1,22,24,0.9167,0.9167,0.0
PDB-CPX-130029,1ssd a1 i1,1sw7 a1 i1,22,23,0.9565,0.9565,0.0
PDB-CPX-130029,1ssd a1 i1,1tim a1 i1,22,19,0.7083,0.7083,0.0
PDB-CPX-130029,1ssd a1 i1,1tpb a1 i1,22,23,0.9565,0.9565,0.0
PDB-CPX-130029,1ssd a1 i1,1tpc a1 i1,22,22,0.913,0.913,0.0
PDB-CPX-130029,1ssd a1 i1,1tph a1 i1,22,23,0.9565,0.9565,0.0
PDB-CPX-130029,1ssd a1 i1,1tpu a1 i1,22,22,0.913,0.913,0.0
PDB-CPX-130029,1ssd a1 i1,1tpv a1 i1,22,24,0.9167,0.9167,0.0
PDB-CPX-130029,1ssd a1 i1,1tpw a1 i1,22,24,0.84,0.84,0.0
PDB-CPX-130029,1ssd a1 i1,4p61 a1 i1,22,25,0.88,0.88,0.0
PDB-CPX-130029,1ssd a1 i1,8tim a1 i1,22,22,0.8333,0.8333,0.0
PDB-CPX-130029,1ssg a1 i1,1su5 a1 i1,23,25,0.92,0.92,0.0
PDB-CPX-130029,1ssg a1 i1,1sw0 a1 i1,23,23,0.84,0.84,0.0
PDB-CPX-130029,1ssg a1 i1,1sw3 a1 i1,23,24,0.8077,0.8077,0.0
PDB-CPX-130029,1ssg a1 i1,1sw7 a1 i1,23,23,0.84,0.84,0.0
PDB-CPX-130029,1ssg a1 i1,1tim a1 i1,23,19,0.75,0.75,0.0
PDB-CPX-130029,1ssg a1 i1,1tpb a1 i1,23,23,0.84,0.84,0.0
PDB-CPX-130029,1ssg a1 i1,1tpc a1 i1,23,22,0.8,0.8,0.0
PDB-CPX-130029,1ssg a1 i1,1tph a1 i1,23,23,0.84,0.84,0.0
PDB-CPX-130029,1ssg a1 i1,1tpu a1 i1,23,22,0.8,0.8,0.0
PDB-CPX-130029,1ssg a1 i1,1tpv a1 i1,23,24,0.8077,0.8077,0.0
PDB-CPX-130029,1ssg a1 i1,1tpw a1 i1,23,24,0.8077,0.8077,0.0
PDB-CPX-130029,1ssg a1 i1,4p61 a1 i1,23,25,0.7778,0.7778,0.0
PDB-CPX-130029,1ssg a1 i1,8tim a1 i1,23,22,0.9565,0.9565,0.0
PDB-CPX-130029,1su5 a1 i1,1sw0 a1 i1,25,23,0.92,0.92,0.0
PDB-CPX-130029,1su5 a1 i1,1sw3 a1 i1,25,24,0.8846,0.8846,0.0
PDB-CPX-130029,1su5 a1 i1,1sw7 a1 i1,25,23,0.92,0.92,0.0
PDB-CPX-130029,1su5 a1 i1,1tim a1 i1,25,19,0.76,0.76,0.0
PDB-CPX-130029,1su5 a1 i1,1tpb a1 i1,25,23,0.92,0.92,0.0
PDB-CPX-130029,1su5 a1 i1,1tpc a1 i1,25,22,0.88,0.88,0.0
PDB-CPX-130029,1su5 a1 i1,1tph a1 i1,25,23,0.92,0.92,0.0
PDB-CPX-130029,1su5 a1 i1,1tpu a1 i1,25,22,0.88,0.88,0.0
PDB-CPX-130029,1su5 a1 i1,1tpv a1 i1,25,24,0.8846,0.8846,0.0
PDB-CPX-130029,1su5 a1 i1,1tpw a1 i1,25,24,0.8846,0.8846,0.0
PDB-CPX-130029,1su5 a1 i1,4p61 a1 i1,25,25,0.8519,0.8519,0.0
PDB-CPX-130029,1su5 a1 i1,8tim a1 i1,25,22,0.88,0.88,0.0
PDB-CPX-130029,1sw0 a1 i1,1sw3 a1 i1,23,24,0.9583,0.9583,0.0
PDB-CPX-130029,1sw0 a1 i1,1sw7 a1 i1,23,23,1.0,1.0,0.0
PDB-CPX-130029,1sw0 a1 i1,1tim a1 i1,23,19,0.75,0.75,0.0
PDB-CPX-130029,1sw0 a1 i1,1tpb a1 i1,23,23,1.0,1.0,0.0
PDB-CPX-130029,1sw0 a1 i1,1tpc a1 i1,23,22,0.9565,0.9565,0.0
PDB-CPX-130029,1sw0 a1 i1,1tph a1 i1,23,23,1.0,1.0,0.0
PDB-CPX-130029,1sw0 a1 i1,1tpu a1 i1,23,22,0.9565,0.9565,0.0
PDB-CPX-130029,1sw0 a1 i1,1tpv a1 i1,23,24,0.9583,0.9583,0.0
PDB-CPX-130029,1sw0 a1 i1,1tpw a1 i1,23,24,0.88,0.88,0.0
PDB-CPX-130029,1sw0 a1 i1,4p61 a1 i1,23,25,0.92,0.92,0.0
PDB-CPX-130029,1sw0 a1 i1,8tim a1 i1,23,22,0.875,0.875,0.0
PDB-CPX-130029,1sw3 a1 i1,1sw7 a1 i1,24,23,0.9583,0.9583,0.0
PDB-CPX-130029,1sw3 a1 i1,1tim a1 i1,24,19,0.72,0.72,0.0
PDB-CPX-130029,1sw3 a1 i1,1tpb a1 i1,24,23,0.9583,0.9583,0.0
PDB-CPX-130029,1sw3 a1 i1,1tpc a1 i1,24,22,0.9167,0.9167,0.0
PDB-CPX-130029,1sw3 a1 i1,1tph a1 i1,24,23,0.9583,0.9583,0.0
PDB-CPX-130029,1sw3 a1 i1,1tpu a1 i1,24,22,0.9167,0.9167,0.0
PDB-CPX-130029,1sw3 a1 i1,1tpv a1 i1,24,24,1.0,0.92,-0.08
PDB-CPX-130029,1sw3 a1 i1,1tpw a1 i1,24,24,0.8462,0.8462,0.0
PDB-CPX-130029,1sw3 a1 i1,4p61 a1 i1,24,25,0.8846,0.8846,0.0
PDB-CPX-130029,1sw3 a1 i1,8tim a1 i1,24,22,0.84,0.84,0.0
PDB-CPX-130029,1sw7 a1 i1,1tim a1 i1,23,19,0.75,0.75,0.0
PDB-CPX-130029,1sw7 a1 i1,1tpb a1 i1,23,23,1.0,1.0,0.0
PDB-CPX-130029,1sw7 a1 i1,1tpc a1 i1,23,22,0.9565,0.9565,0.0
PDB-CPX-130029,1sw7 a1 i1,1tph a1 i1,23,23,1.0,1.0,0.0
PDB-CPX-130029,1sw7 a1 i1,1tpu a1 i1,23,22,0.9565,0.9565,0.0
PDB-CPX-130029,1sw7 a1 i1,1tpv a1 i1,23,24,0.9583,0.9583,0.0
PDB-CPX-130029,1sw7 a1 i1,1tpw a1 i1,23,24,0.88,0.88,0.0
PDB-CPX-130029,1sw7 a1 i1,4p61 a1 i1,23,25,0.92,0.92,0.0
PDB-CPX-130029,1sw7 a1 i1,8tim a1 i1,23,22,0.875,0.875,0.0
PDB-CPX-130029,1tim a1 i1,1tpb a1 i1,19,23,0.75,0.75,0.0
PDB-CPX-130029,1tim a1 i1,1tpc a1 i1,19,22,0.7826,0.7826,0.0
PDB-CPX-130029,1tim a1 i1,1tph a1 i1,19,23,0.75,0.75,0.0
PDB-CPX-130029,1tim a1 i1,1tpu a1 i1,19,22,0.7826,0.7826,0.0
PDB-CPX-130029,1tim a1 i1,1tpv a1 i1,19,24,0.72,0.72,0.0
PDB-CPX-130029,1tim a1 i1,1tpw a1 i1,19,24,0.72,0.7917,0.0717
PDB-CPX-130029,1tim a1 i1,4p61 a1 i1,19,25,0.6923,0.6923,0.0
PDB-CPX-130029,1tim a1 i1,8tim a1 i1,19,22,0.7826,0.7083,-0.0743
PDB-CPX-130029,1tpb a1 i1,1tpc a1 i1,23,22,0.9565,0.9565,0.0
PDB-CPX-130029,1tpb a1 i1,1tph a1 i1,23,23,1.0,1.0,0.0
PDB-CPX-130029,1tpb a1 i1,1tpu a1 i1,23,22,0.9565,0.9565,0.0
PDB-CPX-130029,1tpb a1 i1,1tpv a1 i1,23,24,0.9583,0.9583,0.0
PDB-CPX-130029,1tpb a1 i1,1tpw a1 i1,23,24,0.88,0.88,0.0
PDB-CPX-130029,1tpb a1 i1,4p61 a1 i1,23,25,0.92,0.92,0.0
PDB-CPX-130029,1tpb a1 i1,8tim a1 i1,23,22,0.875,0.875,0.0
PDB-CPX-130029,1tpc a1 i1,1tph a1 i1,22,23,0.9565,0.9565,0.0
PDB-CPX-130029,1tpc a1 i1,1tpu a1 i1,22,22,1.0,1.0,0.0
PDB-CPX-130029,1tpc a1 i1,1tpv a1 i1,22,24,0.9167,0.9167,0.0
PDB-CPX-130029,1tpc a1 i1,1tpw a1 i1,22,24,0.9167,0.9167,0.0
PDB-CPX-130029,1tpc a1 i1,4p61 a1 i1,22,25,0.88,0.88,0.0
PDB-CPX-130029,1tpc a1 i1,8tim a1 i1,22,22,0.8333,0.8333,0.0
PDB-CPX-130029,1tph a1 i1,1tpu a1 i1,23,22,0.9565,0.9565,0.0
PDB-CPX-130029,1tph a1 i1,1tpv a1 i1,23,24,0.9583,0.9583,0.0
PDB-CPX-130029,1tph a1 i1,1tpw a1 i1,23,24,0.88,0.88,0.0
PDB-CPX-130029,1tph a1 i1,4p61 a1 i1,23,25,0.92,0.92,0.0
PDB-CPX-130029,1tph a1 i1,8tim a1 i1,23,22,0.875,0.875,0.0
PDB-CPX-130029,1tpu a1 i1,1tpv a1 i1,22,24,0.9167,0.9167,0.0
PDB-CPX-130029,1tpu a1 i1,1tpw a1 i1,22,24,0.9167,0.9167,0.0
PDB-CPX-130029,1tpu a1 i1,4p61 a1 i1,22,25,0.88,0.88,0.0
PDB-CPX-130029,1tpu a1 i1,8tim a1 i1,22,22,0.8333,0.8333,0.0
PDB-CPX-130029,1tpv a1 i1,1tpw a1 i1,24,24,0.8462,0.8462,0.0
PDB-CPX-130029,1tpv a1 i1,4p61 a1 i1,24,25,0.8846,0.8846,0.0
PDB-CPX-130029,1tpv a1 i1,8tim a1 i1,24,22,0.84,0.84,0.0
PDB-CPX-130029,1tpw a1 i1,4p61 a1 i1,24,25,0.8148,0.8148,0.0
PDB-CPX-130029,1tpw a1 i1,8tim a1 i1,24,22,0.7692,0.84,0.0708
PDB-CPX-130029,4p61 a1 i1,8tim a1 i1,25,22,0.8077,0.8077,0.0
PDB-CPX-138703,7p34 a1 i1,9g3f a1 i1,21,13,0.3077,0.3077,0.0
PDB-CPX-138703,7p34 a1 i1,9g3g a1 i1,21,23,0.375,0.375,0.0
PDB-CPX-138703,7p34 a1 i1,9rqj a1 i1,21,22,0.4333,0.4333,0.0
PDB-CPX-138703,9g3f a1 i1,9g3g a1 i1,13,23,0.5,0.5,0.0
PDB-CPX-138703,9g3f a1 i1,9rqj a1 i1,13,22,0.2963,0.2963,0.0
PDB-CPX-138703,9g3g a1 i1,9rqj a1 i1,23,22,0.4062,0.4062,0.0
PDB-CPX-148643,1ds7 a1 i1,1icr a1 i1,33,41,0.6818,0.6444,-0.0374
PDB-CPX-148643,1ds7 a1 i1,1icu a1 i1,33,40,0.6977,0.6222,-0.0755
PDB-CPX-148643,1ds7 a1 i1,1icu a2 i1,33,42,0.6667,0.6667,0.0
PDB-CPX-148643,1ds7 a1 i1,1icv a1 i1,33,42,0.6667,0.6667,0.0
PDB-CPX-148643,1ds7 a1 i1,1icv a2 i1,33,41,0.6818,0.6444,-0.0374
PDB-CPX-148643,1ds7 a1 i1,1idt a1 i1,33,34,0.8611,0.675,-0.1861
PDB-CPX-148643,1ds7 a1 i1,1oo5 a1 i1,33,36,0.7692,0.6829,-0.0863
PDB-CPX-148643,1ds7 a1 i1,1oo6 a1 i1,33,34,0.8611,0.675,-0.1861
PDB-CPX-148643,1ds7 a1 i1,1oon a1 i1,33,36,0.8649,0.6829,-0.1819
PDB-CPX-148643,1ds7 a1 i1,1ooq a1 i1,33,34,0.8611,0.675,-0.1861
PDB-CPX-148643,1ds7 a1 i1,1yki a1 i1,33,38,0.6512,0.6136,-0.0375
PDB-CPX-148643,1ds7 a1 i1,1yki a2 i1,33,39,0.6364,0.6364,0.0
PDB-CPX-148643,1ds7 a1 i1,1ylr a1 i1,33,41,0.6818,0.6444,-0.0374
PDB-CPX-148643,1ds7 a1 i1,1ylu a1 i1,33,42,0.7045,0.6667,-0.0379
PDB-CPX-148643,1ds7 a1 i1,3x21 a1 i1,33,44,0.6739,0.6042,-0.0697
PDB-CPX-148643,1ds7 a1 i1,3x21 a2 i1,33,45,0.6596,0.6596,0.0
PDB-CPX-148643,1ds7 a1 i1,3x21 a3 i1,33,44,0.6383,0.6739,0.0356
PDB-CPX-148643,1ds7 a1 i1,3x21 a4 i1,33,45,0.6596,0.5918,-0.0677
PDB-CPX-148643,1ds7 a1 i1,3x21 a5 i1,33,45,0.625,0.56,-0.065
PDB-CPX-148643,1ds7 a1 i1,3x22 a1 i1,33,42,0.6667,0.6304,-0.0362
PDB-CPX-148643,1ds7 a1 i1,7x32 a1 i1,33,40,0.6977,0.6977,0.0
PDB-CPX-148643,1ds7 a1 i1,7x32 a2 i1,33,42,0.6667,0.6667,0.0
PDB-CPX-148643,1ds7 a1 i1,7x32 a3 i1,33,42,0.6667,0.6667,0.0
PDB-CPX-148643,1ds7 a1 i1,7x32 a4 i1,33,41,0.6818,0.6818,0.0
PDB-CPX-148643,1ds7 a1 i1,7xww a1 i1,33,36,0.6047,0.5682,-0.0365
PDB-CPX-148643,1ds7 a1 i1,7xww a2 i1,33,39,0.6,0.6364,0.0364
PDB-CPX-148643,1ds7 a1 i1,8c5e a1 i1,33,42,0.6667,0.6667,0.0
PDB-CPX-148643,1ds7 a1 i1,8c5f a1 i1,33,42,0.6667,0.6667,0.0
PDB-CPX-148643,1ds7 a1 i1,8c5p a1 i1,33,42,0.6667,0.6667,0.0
PDB-CPX-148643,1ds7 a1 i1,8ccv a1 i1,33,42,0.6667,0.6667,0.0
PDB-CPX-148643,1ds7 a1 i1,8cj0 a1 i1,33,43,0.6522,0.6522,0.0
PDB-CPX-148643,1ds7 a1 i1,8og3 a1 i1,33,38,0.7317,0.7317,0.0
PDB-CPX-148643,1ds7 a1 i1,8qes a1 i1,33,44,0.6042,0.6042,0.0
PDB-CPX-148643,1ds7 a1 i1,8qes a2 i1,33,44,0.6042,0.6042,0.0
PDB-CPX-148643,1ds7 a1 i1,8qpo a1 i1,33,40,0.6591,0.6591,0.0
PDB-CPX-148643,1ds7 a1 i1,8qpo a2 i1,33,40,0.6591,0.6591,0.0
PDB-CPX-148643,1ds7 a1 i1,8qpo a3 i1,33,41,0.6818,0.6818,0.0
PDB-CPX-148643,1ds7 a1 i1,8qpo a4 i1,33,41,0.6444,0.6444,0.0
PDB-CPX-148643,1ds7 a1 i1,8v5b a1 i1,33,42,0.6667,0.6667,0.0
PDB-CPX-148643,1ds7 a1 i1,8v5b a2 i1,33,45,0.625,0.6596,0.0346
PDB-CPX-148643,1icr a1 i1,1icu a1 i1,41,40,0.8409,0.8,-0.0409
PDB-CPX-148643,1icr a1 i1,1icu a2 i1,41,42,0.8864,0.8043,-0.082
PDB-CPX-148643,1icr a1 i1,1icv a1 i1,41,42,0.9302,0.9302,0.0
PDB-CPX-148643,1icr a1 i1,1icv a2 i1,41,41,0.907,0.8636,-0.0433
PDB-CPX-148643,1icr a1 i1,1idt a1 i1,41,34,0.7442,0.7045,-0.0396
PDB-CPX-148643,1icr a1 i1,1oo5 a1 i1,41,36,0.6739,0.7111,0.0372
PDB-CPX-148643,1icr a1 i1,1oo6 a1 i1,41,34,0.7045,0.7045,0.0
PDB-CPX-148643,1icr a1 i1,1oon a1 i1,41,36,0.6739,0.6739,0.0
PDB-CPX-148643,1icr a1 i1,1ooq a1 i1,41,34,0.7045,0.6667,-0.0379
PDB-CPX-148643,1icr a1 i1,1yki a1 i1,41,38,0.8372,0.7955,-0.0418
PDB-CPX-148643,1icr a1 i1,1yki a2 i1,41,39,0.8605,0.8182,-0.0423
PDB-CPX-148643,1icr a1 i1,1ylr a1 i1,41,41,0.9524,0.907,-0.0454
PDB-CPX-148643,1icr a1 i1,1ylu a1 i1,41,42,0.8864,0.8444,-0.0419
PDB-CPX-148643,1icr a1 i1,3x21 a1 i1,41,44,0.8085,0.8085,0.0
PDB-CPX-148643,1icr a1 i1,3x21 a2 i1,41,45,0.8696,0.7917,-0.0779
